speakerid,native_language,native_lang_code,age,wer,mer,L1_American,L1_Australian,L1_British,L1_Canadian,sex_0,sex_1
1349,Australian,17,54,0.072463768,0.072463768,0,1,0,0,0,1
1209,Australian,17,57,0.072463768,0.072463768,0,1,0,0,1,0
776,Australian,17,55,0.072463768,0.072463768,0,1,0,0,0,1
131,Australian,17,32,0.072463768,0.072463768,0,1,0,0,0,1
88,Australian,17,33,0.072463768,0.072463768,0,1,0,0,1,0
1724,British,2,21,0.072463768,0.072463768,0,0,1,0,1,0
1561,British,2,27,0.072463768,0.072463768,0,0,1,0,1,0
1287,British,2,26,0.072463768,0.072463768,0,0,1,0,0,1
680,British,2,21,0.072463768,0.072463768,0,0,1,0,0,1
100,British,2,27,0.072463768,0.072463768,0,0,1,0,0,1
1070,Canadian,18,28,0.072463768,0.072463768,0,0,0,1,1,0
2921,American,10,30,0.072463768,0.071428571,1,0,0,0,0,1
528,American,10,68,0.072463768,0.071428571,1,0,0,0,0,1
161,American,10,55,0.072463768,0.071428571,1,0,0,0,0,1
1635,British,2,21,0.072463768,0.070422535,0,0,1,0,0,1
1335,American,10,19,0.072463768,0.069444444,1,0,0,0,0,1
2962,American,10,20,0.057971014,0.057971014,1,0,0,0,0,1
2806,American,10,24,0.057971014,0.057971014,1,0,0,0,1,0
2378,American,10,18,0.057971014,0.057971014,1,0,0,0,0,1
2049,American,10,53,0.057971014,0.057971014,1,0,0,0,0,1
2029,American,10,50,0.057971014,0.057971014,1,0,0,0,1,0
1995,American,10,30,0.057971014,0.057971014,1,0,0,0,0,1
1970,American,10,22,0.057971014,0.057971014,1,0,0,0,0,1
1958,American,10,19,0.057971014,0.057971014,1,0,0,0,0,1
1888,American,10,32,0.057971014,0.057971014,1,0,0,0,0,1
1876,American,10,34,0.057971014,0.057971014,1,0,0,0,1,0
1798,American,10,21,0.057971014,0.057971014,1,0,0,0,0,1
1649,American,10,54,0.057971014,0.057971014,1,0,0,0,1,0
1637,American,10,54,0.057971014,0.057971014,1,0,0,0,0,1
1423,American,10,30,0.057971014,0.057971014,1,0,0,0,0,1
1374,American,10,47,0.057971014,0.057971014,1,0,0,0,1,0
1343,American,10,19,0.057971014,0.057971014,1,0,0,0,1,0
1224,American,10,25,0.057971014,0.057971014,1,0,0,0,0,1
1214,American,10,18,0.057971014,0.057971014,1,0,0,0,0,1
1206,American,10,57,0.057971014,0.057971014,1,0,0,0,1,0
855,American,10,32,0.057971014,0.057971014,1,0,0,0,0,1
674,American,10,65,0.057971014,0.057971014,1,0,0,0,1,0
574,American,10,18,0.057971014,0.057971014,1,0,0,0,0,1
522,American,10,25,0.057971014,0.057971014,1,0,0,0,1,0
147,American,10,24,0.057971014,0.057971014,1,0,0,0,1,0
93,American,10,28,0.057971014,0.057971014,1,0,0,0,1,0
85,American,10,18,0.057971014,0.057971014,1,0,0,0,1,0
72,American,10,38,0.057971014,0.057971014,1,0,0,0,1,0
2444,Australian,17,22,0.057971014,0.057971014,0,1,0,0,0,1
1547,Australian,17,19,0.057971014,0.057971014,0,1,0,0,1,0
1536,British,2,18,0.057971014,0.057971014,0,0,1,0,0,1
1108,British,2,27,0.057971014,0.057971014,0,0,1,0,0,1
492,British,2,31,0.057971014,0.057971014,0,0,1,0,1,0
802,Canadian,18,19,0.057971014,0.057971014,0,0,0,1,0,1
519,Canadian,18,21,0.057971014,0.057971014,0,0,0,1,0,1
2967,American,10,23,0.057971014,0.057142857,1,0,0,0,0,1
1333,American,10,32,0.057971014,0.057142857,1,0,0,0,0,1
3009,British,2,19,0.057971014,0.057142857,0,0,1,0,0,1
2533,British,2,20,0.057971014,0.057142857,0,0,1,0,0,1
1554,British,2,29,0.057971014,0.057142857,0,0,1,0,0,1
1380,British,2,24,0.057971014,0.057142857,0,0,1,0,0,1
611,British,2,20,0.057971014,0.057142857,0,0,1,0,0,1
144,British,2,21,0.057971014,0.057142857,0,0,1,0,0,1
71,British,2,22,0.057971014,0.057142857,0,0,1,0,0,1
69,British,2,26,0.057971014,0.057142857,0,0,1,0,1,0
1093,British,2,56,0.057971014,0.056338028,0,0,1,0,1,0
