speakerid,L1,L1_coded,L1_American,L1_Arabic,L1_Australian,L1_British,L1_Canadian,L1_Dutch,L1_French,L1_German,L1_Italian,L1_Japanese,L1_Korean,L1_Mandarin,L1_Polish,L1_Russian,L1_Spanish,L1_Swedish,L1_Thai,L1_Vietnamese,sex,sex_0,sex_1,age_of_english_onset,pitch-code,tone-code,prosody,Vowels,Vowel_difference,Age,English_experience,WER,MER
1995,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,30,100,0.057971014,0.057971014
1970,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,22,100,0.057971014,0.057971014
1958,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,19,100,0.057971014,0.057971014
1888,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,32,100,0.057971014,0.057971014
1876,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,34,100,0.057971014,0.057971014
1798,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,21,100,0.057971014,0.057971014
1649,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,54,100,0.057971014,0.057971014
1637,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,54,100,0.057971014,0.057971014
1423,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,30,100,0.057971014,0.057971014
1374,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,47,100,0.057971014,0.057971014
1343,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,19,100,0.057971014,0.057971014
1224,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,25,100,0.057971014,0.057971014
1214,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,18,100,0.057971014,0.057971014
1206,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,57,100,0.057971014,0.057971014
855,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,32,100,0.057971014,0.057971014
674,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,65,100,0.057971014,0.057971014
574,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,18,100,0.057971014,0.057971014
522,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,25,100,0.057971014,0.057971014
147,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,24,100,0.057971014,0.057971014
93,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,28,100,0.057971014,0.057971014
85,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,18,100,0.057971014,0.057971014
72,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,38,100,0.057971014,0.057971014
3034,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,23,100,0.043478261,0.043478261
2919,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,26,100,0.043478261,0.043478261
2897,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,21,100,0.043478261,0.043478261
2896,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,26,100,0.043478261,0.043478261
2805,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,27,100,0.043478261,0.043478261
2165,American,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,33,100,0.043478261,0.043478261
